FeatureName,RelScore
negativecalories,-86.93
honey,-75.86
hiit,-58.81
bakedcandy,-36.24
cheescake,-35.28
oatmeal,-31.83
whey,-24.03
nutbutter,-22.52
cola,-20.72
whisky,-20.72
chocolate,-19.57
cranberry,-19.57
weighttraining,-19.03
whitecheese,-14.62
rice,-13.86
milletgroats,-9.06
no_sleep,-8.90
cycling,1.88
candy,4.04
Constant,6.23
bread,9.38
icecreams,13.53
nuts,15.95
homebakedcandy,16.00
junkfood,18.31
wine,27.79
kasha,29.84
pizza,30.47
sleep,35.98
eatingout,40.49
colazero,46.35
beer,51.19
oliveoil,63.37
avocado,64.32
pasta,69.79
burgers,100.00
